sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
805,Anand,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Cookware, kitchen utensils, serving ware, kitchen accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
806,ANB Decor,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall art, mirrors, decorative panels, home décor accessories",https://www.anbdecor.com/,Collated Sheet,,,,,,,,,,,,,,,,2 stores in Mumbai.Manufacturer and importer of wallpaper
807,Anna Aluminium,Screened-Out,Cookware & Kitchenware,Kitchen,Cookware,"Aluminium cookware, kadai, fry pans, saucepans, pressure cookware",https://annaaluminium.annagroup.net/index.html,Collated Sheet,,,,,,,,,,,,,,,,Part of larger group
808,Anupam Kitchen,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Kitchen utensils, cookware, storage containers, serving accessories",https://anupamkitchen.com/kitchen/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has low scale
809,Ariana,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, pillow covers, blankets, curtains, home linen",https://www.ariana.in/about-us.php#our-story,Collated Sheet,,,,,,,,,,,,,,,,AH relevant
810,Arsomaa India Pvt Limited,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",www.arsomaa.com,Collated Sheet,,,,,,,,,,,,,,,,Unable to access the website
811,Artysta,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall art, decorative accents, sculptures, mirrors, home décor accessories",https://www.artystagallery.com/,Collated Sheet,,,,,,,,,,,,,,,,Website is good
812,Arwa Plastics,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, kitchen organizers, utility containers, household products",https://www.indiamart.com/arwaa-plastic/profile.html?srsltid=AfmBOopaR3nPZrcTmj0BhxukhLNmvPXvQjF6ngO7pyNxtNWynJfHq8p2,Collated Sheet,,,,,,,,,,,,,,,,No website so couldn't get complete product range
813,Asadeep Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, blinds, cushion fabrics, furnishing fabrics",https://asadeep.com/,Collated Sheet,,,,,,,,,,,,,,,,
814,Ascent Décor,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative objects, vases, tabletop décor",http://www.ascentdecor.com/,Collated Sheet,,,,,,,,,,,,,,,,"Is a textile company and has multiple branda under it, all of them aiming to provide both high end and affordable products - to both domestic and international markets merged these four companies under the umbrella of ascent in 2019."
815,Navrasa,Rejected-CH,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, tri-ply cookware, fry pans, kadai, cookware sets",,NDA Tracking,,,,,,,,,,,,,,,Low scale,Call was done skipped since scale was low
816,ATTRO,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, small kitchen appliances",https://attroworld.com/about-us/,Collated Sheet,,,,,,,,,,,,,,,,Products are decent
817,Aurum,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Decorative accessories, candle holders, sculptures, wall décor, gifting products",https://aurumcrafts.in/,Collated Sheet,,,,,,,,,,,,,,,,Website and the products are good
818,Aurum Crafts,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wooden décor, handcrafted accessories, wall décor, decorative trays, gifting products",https://aurumcrafts.in/,Collated Sheet,,,,,,,,,,,,,,,,Good website
819,Avi Lifestyles,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, curtains, blankets, cushion covers, home linen",https://avilifestyles.com/,Collated Sheet,,,,,,,,,,,,,,,,
820,Avid Impex,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, kitchen accessories",https://www.avidimpex.net/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers commercial appliances
821,Avis Bedlinen,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, duvet covers, comforters, pillow covers, quilts, bedding",https://avisbedlinen.com/,Collated Sheet,,,,,,,,,,,,,,,,Manufacturer of Cotton bedsheets
822,Avm Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, gas stoves, electric kettles, kitchen appliances",https://avmappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,Products and website are good. The company offers a wide range of Fans
823,Avon,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Cookware, kitchen utensils, serving ware, storage containers",https://www.avonappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,"Decent website, largely b2b"
824,AWK,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Racks & Shelves,"Dish racks, kitchen organizers, storage racks, utility accessories",https://www.awkenox.com/,Collated Sheet,,,,,,,,,,,,,,,,Cant access website
825,Bajoria Appliances,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Mixer grinders, induction cooktops, gas stoves, chimneys, kitchen appliances",https://www.kutchina.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has high scale
826,Bar Box,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Accessories,"Bar tool sets, cocktail shakers, ice buckets, barware, wine accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Products are of good quality
827,Basil,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Kitchen utensils, cookware, serving accessories, storage products",-,Collated Sheet,,,,,,,,,,,,,,,,Not relevant
828,BAY6,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, decorative accents, mirrors, tabletop décor, gifting products",-,Collated Sheet,,,,,,,,,,,,,,,,Can't find the website link or the products anywhere
829,"Bellagio Homes
(Proprietorship)",Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, curtains, cushion covers, blankets, home linen",https://www.bellagiohome.online/,Collated Sheet,,,,,,,,,,,,,,,Not looking to sell,"Have asked for financial data which could take time because of their newness to this subject.

Very good for you to bill ₹2-3L sales upfront due to depth of catalogue but market outside of EBOs can also be built. Currently sells through 1500+ retail outlet directly. Premium brand was launched a few years back ago.

The brands are:
Bellagio - higher than Portico price point
Desenista- at Spread price point"
830,Bhagwati Electronics and Electricals,Screened-Out,Home Appliances,Small Appliances,Fans,"Fans, room heaters, electrical appliances, kitchen appliances, electrical accessories",https://www.bhagwatielectronics.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are quite basic
831,Bhagya,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, kitchen accessories",https://bhagyacookware.com/,Collated Sheet,,,,,,,,,,,,,,,,Average website
832,Bianca,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, duvet covers, towels, pillow covers",https://biancahome.com/pages/about-us,Collated Sheet,"Premium positioning, good D2C presence, likely within revenue band",,,,,,,,,,,,,,Not interested in the model,"Premium positioning, good D2C presence, likely within revenue band"
833,Bien Living,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative accessories, wall décor, mirrors, planters, home accents",https://bienliving.com/,Collated Sheet,,,,,,,,,,,,,,,,
834,Big Blue,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Stainless steel bottles, insulated flasks, tumblers, travel mugs, drinkware accessories",-,Collated Sheet,,,,,,,,,,,,,,,,The company is headquartered in South Africa
835,Blendofit,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"High-speed blenders, smoothie makers, personal blenders, portable blenders, blender accessories",https://blendofit.com/,Collated Sheet,,,,,,,,,,,,,,,,Website is decent and has 9K followers on instagram
836,BMF,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, kitchen accessories",-,Collated Sheet,,,,,,,,,,,,,,,,"No presence on google , cant find this brand"
837,Bmraj,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving accessories, kitchen essentials",https://www.bmraj.com/#,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are quite basic
838,Bodhi House,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Decorative accents, wall décor, candle holders, planters, handcrafted home accessories",https://www.bodhihouse.in/,Collated Sheet,,,,,,,,,,,,,,,,Website and the products are good
839,Bombay Kookware,To-Contact,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, tri-ply cookware, fry pans, kadai, saucepans, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,"Available on amazon, no official website. products are basic and scale is also unknown"
840,Brayden,Screened-Out,Home Appliances,Small Appliances,Water Purifiers,"Air purifiers, humidifiers, dehumidifiers, home wellness appliances",-,Collated Sheet,,,,,,,,,,,,,,,,Not relevant
841,BreatheEasy,Screened-Out,Home Appliances,Small Appliances,Water Purifiers,"Air purifiers, commercial air purification systems, air filters, purification accessories",https://breatheeasylabs.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers commercial appliances
842,Atlasware,Rejected-Promoter,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",https://atlasware.in/,Collated Sheet,,,,,,,,,,,,,,,Not interested in the model,"Manufacturer of stainless steel products, website is decent"
843,Bright Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, kitchen appliances",https://brighthomeappliances.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since it is an established company
844,BSB wollens,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Blankets, comforters, quilts, throws, home linen",https://www.bsbwoollens.com/,Collated Sheet,25-100 cr,,,,,,,,,,,,,,,25-100 cr
845,Bulfyss,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, lunch boxes, kitchen organizers, utility products",-,Collated Sheet,,,,,,,,,,,,,,,,"Doesn’t have a website of its own. products are available on amazon, blinkit etc"
846,Burly Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, gas stoves, electric kettles, kitchen appliances",https://burly.in/?srsltid=AfmBOor_RTiI847rPth1ZjVSOt9Kl2zJh3p2kiBoPcIyvnAvEwhLsjgP,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has low scale
847,Butterfly,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Mixer grinders, pressure cookers, gas stoves, induction cooktops, cookware, chimneys",-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company is established
848,Capsicum,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Kitchen utensils, cookware, storage containers, serving accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Can't find the website link or the products anywhere
849,Carote,Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Non-stick cookware, ceramic cookware, frying pans, saucepans, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,(MNC: swiss brand)
850,Casamia Fabrics,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtain fabrics, upholstery fabrics, cushion fabrics, furnishing textiles",https://www.casableustore.com/?srsltid=AfmBOoo0gnlnAIMOEFumJhhFUZyJIdKfJGhv4pzknZLuDJrax7S1w6Dr,Collated Sheet,,,,,,,,,,,,,,,,
851,Castleite,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. Products listed on amazon are quite basic. Scale and employee count not available
852,Cedar,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, curtains, cushion covers, upholstery fabrics, home furnishing textiles",https://shadesofindia.com/,Collated Sheet,,,,,,,,,,,,,,,,"Also produce clothing, mainly a textile manufacturing company"
853,Centuary Mattresses,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Mattresses, pillows, mattress protectors, bedding accessories",https://www.centuaryindia.com/,Collated Sheet,,,,,,,,,,,,,,,,
854,Chartbusters Home Appliance,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, small kitchen appliances",https://chartbustershomeappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are quite basic
855,Chefman,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Air fryers, coffee makers, electric kettles, toaster ovens, blenders, food processors",-,Collated Sheet,,,,,,,,,,,,,,,,MNC(us-based)
856,Chennai Blinds,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Roller blinds, Venetian blinds, Roman blinds, zebra blinds, window shades",https://www.chennaiblinds.com/,Collated Sheet,,,,,,,,,,,,,,,,
857,Cherry,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Kitchen utensils, cookware, serving accessories, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. Scale and employee count not available
858,Chick n Curtains,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, blackout curtains, sheers, window blinds, curtain accessories",http://www.chickncurtains.com/,Collated Sheet,,,,,,,,,,,,,,,,
859,Chokhat,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall art, mirrors, wall shelves, decorative panels, handcrafted home décor",https://www.chokhat.in/,Collated Sheet,,,,,,,,,,,,,,,,Featured on sharktank
860,Chrome,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. products listed on amazon are quite basic. scale and employee count not available
861,Chuk,Screened-Out,Cookware & Kitchenware,Kitchen,Kitchen Knives & Cutlery,"Bagasse tableware, plates, bowls, meal trays, cups, cutlery, takeaway packaging",-,Collated Sheet,,,,,,,,,,,,,,,,Products are not suitable
862,Citizen Synthetics,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtain fabrics, upholstery fabrics, furnishing textiles, home fabrics",https://www.citizensynthetics.in/,Collated Sheet,25-100 cr,,,,,,,,,,,,,,,25-100 cr
863,Classic Imports,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Accessories,"Home décor, decorative accents, vases, sculptures, tabletop accessories",https://classicimp.in/contact.html,Collated Sheet,,,,,,,,,,,,,,,,Products are decent
864,Clay Craft,Rejected-Promoter,Cookware & Kitchenware,Kitchen,Drinkware,"Ceramic mugs, dinner sets, cups & saucers, bowls, serving ware, tableware",https://www.claycraftindia.com/,Collated Sheet,,,,,,,,,,,,,,,Valuation,Filed for DRHP
865,Clean Champ,Screened-Out,General Merchandise,Other,Cleaning Products,"Cleaning brushes, mops, wipers, brooms, household cleaning accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Products are not relevant
866,Darkpyro,Rejected-Promoter,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"LED decorative lights, ambient lighting, decorative lamps, lighting accessories",https://darkpyro.in/,Collated Sheet,,,,,,,,,,,,,,,Valuation,Products are decent
867,Cleevo,Screened-Out,Home Appliances,Small Appliances,Cleaning Appliances,"Robot vacuum cleaners, smart cleaning appliances, home automation products",-,Collated Sheet,,,,,,,,,,,,,,,,The products are not relevant
868,Cliff Technologies,Screened-Out,Home Appliances,Small Appliances,Fans,"Fans, room heaters, electrical appliances, small home appliances",https://www.clifftech.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are quite basic
869,coconut,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Scented candles, aroma candles, reed diffusers, wax melts, fragrance products",https://mycoconutworld.com/?gad_source=1&gad_campaignid=22275236370&gbraid=0AAAAADhwM0O1jdYjf5IuqUrD0Q2R0_WhR&gclid=Cj0KCQjw8cHABhC-ARIsAJnY12wANBRAjGI30A26PVYRpXFyMqXXrbLxskskPeUAJl4_oq5VNiQFNogaAprdEALw_wcB,Collated Sheet,,,,,,,,,,,,,,,,Products are decent
870,Coir On,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Coir mattresses, mattress toppers, pillows, bedding products",https://www.coir-on.com/,Collated Sheet,,,,,,,,,,,,,,,,
871,Coirfoam India,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Coir mattresses, foam mattresses, pillows, mattress protectors",NA,Collated Sheet,,,,,,,,,,,,,,,,
872,Continental Home Furnishings,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, curtains, cushion covers, home linen",https://www.chfindia.net/,Collated Sheet,,,,,,,,,,,,,,,,Managing Director - Vinod Singhal
873,Cooking Craft,Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, non-stick cookware, frying pans, kadai, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. Scale and employee count not available
874,Corisca Designs,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative objects, tabletop décor, home accents",https://corsicadesigns.com/,Collated Sheet,Interaction: Design house (small -20 cr) doing bar trolleys etc,,,,,,,,,,,,,,,Interaction: Design house (small -20 cr) doing bar trolleys etc
875,Cortina India,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, blinds, curtain fabrics, window furnishings, sheers",https://cortinaindia.com/,Collated Sheet,"The brand sells through organized retailers (D-Mart, V-Mart, Big Bazaar), major e-commerce sites, and exports ~15% of its ~₹75 Cr annual sales to markets like the US, UK, France, and Australia",,,,,,,,,,,,,,,"The brand sells through organized retailers (D-Mart, V-Mart, Big Bazaar), major e-commerce sites, and exports ~15% of its ~₹75 Cr annual sales to markets like the US, UK, France, and Australia. Relevant for AH"
876,Cotton Concepts,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Towels, bath mats, bedsheets, robes, kitchen linen, home textiles",https://www.cottonconcepts.global/,Collated Sheet,,,,,,,,,,,,,,,,
877,Cotton Creations,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, quilts, comforters, pillow covers, curtains, home linen",https://www.cottoncreations.in/,Collated Sheet,,,,,,,,,,,,,,,,
878,Joyful,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Decorative accents, gifting products, candles, vases, tabletop décor",https://joyful.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Manufacturer of household plastic products. Website is decent. Wide range of products
879,Creative Space,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall art, mirrors, photo frames, decorative panels, home décor",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
880,Curtain Label,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, blackout curtains, sheers, curtain accessories",https://www.curtainlabel.com/,Collated Sheet,,,,,,,,,,,,,,,,
881,Curtains Blinds & Upholstery Co.,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Roller blinds, Venetian blinds, Roman blinds, curtains, upholstery fabrics",https://www.curtainsandupholstery.com/index.php,Collated Sheet,,,,,,,,,,,,,,,,
882,Cutting Edge,In-Conversation,Cookware & Kitchenware,Kitchen,Kitchen Knives & Cutlery,"Kitchen knives, cutting boards, peelers, slicers, kitchen accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Products available on amazon but not good quality and scale is not available
883,D'corasia,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wooden décor, wall décor, sculptures, mirrors, decorative accessories",https://dcorasia.com/,Collated Sheet,,,,,,,,,,,,,,,,
884,Dadoo Ceramics,Screened-Out,Cookware & Kitchenware,Kitchen,Bakeware,"Ceramic cookware, baking dishes, serving bowls, dinnerware, mugs",http://dadoosceramicgroup.com/?i=1,Collated Sheet,,,,,,,,,,,,,,,,Poor website
885,Darpan Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, curtain fabrics, blinds, cushion fabrics",https://darpanfurnishings.com/,Collated Sheet,,,,,,,,,,,,,,,,Founder & MD - Suleman Hirani
886,DASH,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Air fryers, electric kettles, blenders, food processors, kitchen appliances",-,Collated Sheet,,,,,,,,,,,,,,,,The company is headquartered outside india
887,DC Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Curtains, bedsheets, upholstery fabrics, cushion covers, furnishing fabrics",https://dcfurnishing.com/,Collated Sheet,,,,,,,,,,,,,,,,
888,DCTEX Furniture,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Sofas, beds, dining tables, wardrobes, office furniture, storage furniture",https://dctex.com/,Collated Sheet,,,,,,,,,,,,,,,,
889,De Cama,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, duvet covers, comforters, pillow covers, quilts, bedding",https://www.de-cama.com/,Collated Sheet,,,,,,,,,,,,,,,,
890,Decco Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",https://www.decoindia.in/,Collated Sheet,,,,,,,,,,,,,,,,Products and the website are good. The company offers both kitchen and home appliances. Doing OEM largely
891,Deco Point,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, vases, tabletop décor",https://www.decopoint.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Proprietor - Dipesh Bhavsar
892,Deco Window,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, blackout curtains, sheers, blinds, curtain accessories",https://www.jayanita.com/,Collated Sheet,,,,,,,,,,,,,,,,"active loans amount to 6.12CR, has evolved into a ""complete window solution"""
893,Decorbajar,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, lighting, planters, decorative accessories, mirrors",https://www.decorbajar.com/,Collated Sheet,,,,,,,,,,,,,,,,Founder - Ravi Kadyan
894,Deep Cutlery,Screened-Out,Cookware & Kitchenware,Kitchen,Kitchen Knives & Cutlery,"Stainless steel cutlery, kitchen knives, serving spoons, kitchen tools, flatware",-,Collated Sheet,,,,,,,,,,,,,,,,Cant find the financials for this company but the product category is relevant
895,Deepam,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Decorative lamps, diyas, festive lighting, pooja décor, lighting accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
896,Aura Decor,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Scented candles, pillar candles, tealights, wax melts, reed diffusers, home fragrance",,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,On hold,Rejected because founders did not seem interested
897,Black magnum,Rejected-CH,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Non-stick cookware, hard anodized cookware, fry pans, kadai, cookware sets",https://blackmagnum.in/,Current focus sheet (CH tracker file),"Call done wih ST 26 cr topline, 20 cr without dairy",,,,,,,,,,,,,,On hold,"Call done wih ST 26 cr topline, 20 cr without dairy"
898,Design View,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall art, mirrors, decorative panels, customized décor, home accessories",https://www.designsview.in/,Collated Sheet,,,,,,,,,,,,,,,,
899,Dewlite Enterprises,Screened-Out,Home Appliances,Small Appliances,Lighting,"LED lights, ceiling lights, decorative lighting, electrical lighting products",https://r.search.yahoo.com/_ylt=Awrx.tDhFjBoKwIAZxu7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1749191650/RO=10/RU=http%3a%2f%2fwww.dewlite.in%2f/RK=2/RS=A8kQp5Mwrc_aPpjk.Lx3WGPEhCM-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since it is an authorised dealer of Blue Star
900,Gloxy Enterprises,Rejected-CH,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, non-stick cookware, kadai, fry pans, casseroles, cookware sets",https://gloxy.in/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,on hold,Rejected due to products being mass focussed
901,Dinesmart,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Products are on flipkart but poor quality and scale is unknown
902,Divine Overseas,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, pillow covers, curtains, home linen",https://www.divine-exports.com/,Collated Sheet,Revenue 40 cr,,,,,,,,,,,,,,Not interested in the model,"100 pc export 
Not interested in India market 
Own brand - overseas - geog Africa 

Plant - Vasai - kitchenware 
Revenue 40 cr.

Not interested in selling in India"
903,DND Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtain fabrics, upholstery fabrics, blinds, furnishing materials",http://dndfurnishing.com/,Collated Sheet,,,,,,,,,,,,,,,,
904,Drapes India,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, sheers, blackout curtains, blinds, window furnishings",https://www.drapesindia.in/,Collated Sheet,,,,,,,,,,,,,,,,Owner - Sandiip Kummar
905,Dreams Furnishing,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, curtains, cushion covers, furnishing textiles",https://dreamsfurnishings.com/,Collated Sheet,,,,,,,,,,,,,,,,
906,Dtale Décor,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, decorative accents, sculptures, mirrors, home accessories",https://www.dtalemodern.com/,Collated Sheet,,,,,,,,,,,,,,,,Recognized with IIID design awards in 2011 and 2013
907,Dynore,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, dinnerware, serving ware",-,Collated Sheet,,,,,,,,,,,,,,,,"Products are available on flipkart but very poor quality, scale is also unknown"
908,Eagle Home Appliances,Screened-Out,Home Appliances,Small Appliances,Fans,"Mixer grinders, induction cooktops, electric kettles, fans, small home appliances",https://www.eagleconsumer.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company is under bankruptcy
